"media","strain","plasmid","inducer","ara_diln_index","ara_pc","volume","well","time","OD600","OD700","blueblue","bluelow","row","column","normalised_OD","pathlength","normalised_OD_cm1","normalised_blueblue","flu_quench","corrected_normalised_blueblue","calibrated_OD","calibrated_mTagBFP2"
"M9","DH10B","pS381_ara_mTagBFP2","ara","2","0.00003",200,"F3",0,0.1235,0.1101,472,17,"F",3,0.0209875,0.607201390705418,0.0345643147747368,6.46552613493674,0.979212527888596,6.60278126636909,21094819.4775309,72817081034.5649
"M9","DH10B","pS381_ara_mTagBFP2","ara","2","0.00003",200,"F4",0,0.1205,0.1086,474,18,"F",4,0.0194875,0.607201390705418,0.0320939647014977,7.99492275805557,0.980139281750509,8.1569251502468,19587149.2349439,89956558561.7266
"M9","DH10B","pS381_ara_mTagBFP2","ara","3","0.0001",200,"F5",0,0.1206,0.1096,469,17,"F",5,0.0204875,0.607201390705418,0.0337408647503237,3.3086595391311,0.979521079016138,3.37783393334876,20592262.7300019,37251575862.2452
"M9","DH10B","pS381_ara_mTagBFP2","ara","3","0.0001",200,"F6",0,0.1277,0.114,461,17,"F",6,0.0248875,0.607201390705418,0.0409872249651584,-3.3111474920517,0.976818347128203,-3.38972696590549,25014762.1082574,-37382735123.8493
"M9","DH10B","pS381_ara_mTagBFP2","ara","3","0.0001",200,"F7",0,0.1199,0.107,471,17,"F",7,0.0178875,0.607201390705418,0.029458924623376,4.49294287946969,0.981131468133916,4.57934846184797,17978967.642851,50502170915.5092
"M9","DH10B","pS381_ara_mTagBFP2","ara","4","0.0003",200,"F8",0,0.1257,0.1139,469,17,"F",8,0.0247875,0.607201390705418,0.0408225349602758,4.65749547132469,0.976879460425893,4.76772791322089,24914250.7587515,52579665417.0667
"M9","DH10B","pS381_ara_mTagBFP2","ara","4","0.0003",200,"F9",0,0.1344,0.1226,470,17,"F",9,0.0334875,0.607201390705418,0.0551505653850624,8.37599405757561,0.97161622889904,8.62068150823977,33658738.1657566,95070976704.3161
"M9","DH10B","pS381_ara_mTagBFP2","ara","4","0.0003",200,"F10",0,0.1235,0.1115,473,17,"F",10,0.0223875,0.607201390705418,0.0368699748430932,7.90473386859748,0.978350530285506,8.07965409523587,22501978.3706122,89104394534.5739
"M9","none","none","none","none","none",200,"F11",0,0.0955,0.0889,469,17,"F",11,-0.00021249999999999,0.607201390705418,-0.00034996626037552,-3.1857044970285,0.992623886680434,-3.20937722714112,-213586.617699827,-35393794249.9395
"","","","","","",NA,"F12",0,NA,NA,NA,NA,"F",12,NA,NA,NA,NA,NA,NA,NA,NA
